subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason
10591493,4786,4351,12945,"{""id"":""24"",""image1"":""Stirling.jpg"",""image2"":""StirlingA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/3e0864bc-5231-4c93-b33c-256bd9323a47.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/aa00ae44-1478-4c03-bfed-fa3198fd95e7.png""}",7,,
10591493,4786,4459,12945,"{""id"":""24"",""image1"":""Stirling.jpg"",""image2"":""StirlingA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/3e0864bc-5231-4c93-b33c-256bd9323a47.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/aa00ae44-1478-4c03-bfed-fa3198fd95e7.png""}",0,,
10591496,4786,4351,12945,"{""id"":""27"",""image1"":""Stirling.jpg"",""image2"":""StirlingA4.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/500cbb65-43b0-48d3-8231-f1b697a51622.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/3da5492c-3fda-47a6-9376-09cd784fae80.png""}",7,,
10591496,4786,4459,12945,"{""id"":""27"",""image1"":""Stirling.jpg"",""image2"":""StirlingA4.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/500cbb65-43b0-48d3-8231-f1b697a51622.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/3da5492c-3fda-47a6-9376-09cd784fae80.png""}",0,,
10591497,4786,4351,12945,"{""id"":""28"",""image1"":""Emissions.jpg"",""image2"":""EmissionsA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/0c8118eb-c6ef-41b8-8e3d-cb3e50411e27.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/060233ec-dd08-4214-9805-ed5e06a6e906.png""}",7,,
10591497,4786,4459,12945,"{""id"":""28"",""image1"":""Emissions.jpg"",""image2"":""EmissionsA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/0c8118eb-c6ef-41b8-8e3d-cb3e50411e27.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/060233ec-dd08-4214-9805-ed5e06a6e906.png""}",0,,
10591498,4786,4351,12945,"{""id"":""29"",""image1"":""Emissions.jpg"",""image2"":""EmissionsA2.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/46b580c6-909f-422e-9181-9b166a8c2713.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/205d38d8-4af5-4fcb-8598-43b68e5d667d.png""}",7,,
10591498,4786,4459,12945,"{""id"":""29"",""image1"":""Emissions.jpg"",""image2"":""EmissionsA2.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/46b580c6-909f-422e-9181-9b166a8c2713.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/205d38d8-4af5-4fcb-8598-43b68e5d667d.png""}",0,,
10591499,4786,4351,12945,"{""id"":""30"",""image1"":""Emissions.jpg"",""image2"":""EmissionsA3.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6eb1fa89-b3a9-4d9d-98f3-a120a09dc4f7.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/d46f5df8-94cf-4b7f-961c-a1958bf2067f.png""}",7,,
10591499,4786,4459,12945,"{""id"":""30"",""image1"":""Emissions.jpg"",""image2"":""EmissionsA3.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6eb1fa89-b3a9-4d9d-98f3-a120a09dc4f7.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/d46f5df8-94cf-4b7f-961c-a1958bf2067f.png""}",0,,
